SCOP Superfamily	SCOP ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																	
Heme-dependent peroxidases	48113	9	5	0.56	PA1934	PA3739	PA4634	PA4635	PB16565																																																																																													
Uteroglobin-like	48201	5	5	1.00	PB585	PA5890	PC40461	PC445	PB7677																																																																																													
Six-hairpin glycosyltransferases	48208	3	1	0.33	PA2037																																																																																																	
Seven-hairpin glycosyltransferases	48225	3	2	0.67	PC4614	PC19469																																																																																																
Terpenoid cylases/Protein prenyltransferases	48239	9	5	0.56	PA433	PA2639	PA3802	PA3803	PC25247																																																																																													
Citrate synthase	48256	2	1	0.50	PB12869																																																																																																	
Cytochrome P450	48264	52	29	0.56	PA1585	PA1587	PB1590	PA1593	PA1594	PA1596	PA1598	PA1600	PA1601	PA1602	PA1604	PA1605	PA1608	PA1609	PB1610	PA1614	PA1617	PA1621	PB1622	PA1625	PA4628	PB11468	PB13081	PC31568	PC31681	PC40206	PC40249	PA1592	B%SWISS-PROT:Q924A4																																																																					
"""Ribosomal protein L7/12, oligomerisation (N-terminal) domain"""	48300	1	2	2.00	PC11189	B%SWISS-PROT:P05125																																																																																																
Ras GEF	48366	27	1	0.04	PC15396																																																																																																	
ARM repeat	48371	171	6	0.04	PB9059	PC9402	PC12763	PB18975	PB7755	PC39063																																																																																												
Ankyrin repeat	48403	155	2	0.01	PB18982	PB18978																																																																																																
Protein prenylyltransferase	48439	35	1	0.03	PA7519																																																																																																	
TPR-like	48452	126	7	0.06	PA4166	PA4167	PB4507	PC15950	PC19756	PB6867	PC15207																																																																																											
Lipoxigenase	48484	6	1	0.17	PA699																																																																																																	
Skp1-Skp2 dimerisation domains	48503	28	2	0.07	PC23332	PC50166																																																																																																
Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b	48547	14	1	0.07	PA4235																																																																																																	
Serum albumin-like	48552	5	4	0.80	PA641	PA679	PA1815	PC21352																																																																																														
Terpenoid synthases	48576	5	1	0.20	PC12499																																																																																																	
"""Phospholipase A2, PLA2"""	48619	13	11	0.85	PA4364	PA4366	PA4367	PB4368	PA4370	PC6397	PB6462	PB6463	PB8339	PC23808	PA4064																																																																																							
Immunoglobulin	48726	421	87	0.21	PA643	PB938	PA941	PA943	PA956	PA1226	PA1407	PB1488	PA1502	PA1543	PA1544	PA2603	PA2826	PB2923	PC2938	PA2951	PB3394	PB3419	PA3478	PB3490	PB3493	PB4181	PB4611	PB4615	PA5054	PA5055	PA5056	PA5057	PA5058	PC5543	PA5950	PB5951	PB5952	PA6301	PB6303	PB6364	PB6365	PB6366	PB6677	PB6987	PB7327	PB7597	PB8875	PB8949	PB9156	PC9444	PA9691	PC10359	PC11211	PC11406	PC14049	PB14669	PB15955	PB16356	PB18906	PB18934	PC20046	PC21005	PC21322	PC21998	PC22704	PC22727	PC22758	PC22838	PC23842	PC24133	PC29153	PC29774	PC30741	PC30887	PC30975	PC33407	PC34663	PC34796	PC35723	PC60142	PC70026	PB6461	PB7759	PC22793	PC27395	B%ENSEMBL:ENSMUSP00000005914	B%ENSEMBL:ENSMUSP00000035572	B%TREMBL:Q8VCE3	B%TREMBL:Q9D6A9	B%TREMBL:Q9D8L4	B%TREMBL:Q9DCD9											
Fibronectin type III	49265	138	21	0.15	PB938	PA1407	PA1415	PB1434	PB1488	PA2176	PA2951	PB4181	PB5686	PB5887	PB6773	PB6987	PC9847	PC10410	PC11777	PB18983	PC22555	PC22932	PC38446	PC24227	PC31061																																																																													
beta-Galactosidase/glucuronidase domain	49303	1	1	1.00	PA2564																																																																																																	
"""Transglutaminase, two C-terminal domains"""	49309	9	1	0.11	PB14851																																																																																																	
Cadherin	49313	68	3	0.04	PC26428	PC29513	B%TREMBL:Q8VCE3																																																																																															
"""Cu,Zn superoxide dismutase-like"""	49329	3	1	0.33	PA5261																																																																																																	
Alpha-macroglobulin receptor domain	49410	5	5	1.00	PA433	PA2639	PA3802	PA3803	PC25247																																																																																													
p53-like transcription factors	49417	35	1	0.03	PA5498																																																																																																	
Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	49447	11	1	0.09	PC22044																																																																																																	
Starch-binding domain	49452	3	2	0.67	PB1926	PC9929																																																																																																
"""Carboxypeptidase D, a regulatory domain"""	49464	9	6	0.67	PB637	PA1460	PB7208	PB7306	PB19141	PC21027																																																																																												
Transthyretin (prealbumin)	49472	2	1	0.50	PA5801																																																																																																	
HSP40/DnaJ peptide-binding domain	49493	8	1	0.13	PB19066																																																																																																	
Cupredoxins	49503	8	3	0.38	PA1457	PB2028	PA2030																																																																																															
"""C2 domain (Calcium/lipid-binding domain, CaLB)"""	49562	96	3	0.03	PA4280	PC14770	PB18953																																																																																															
TRAF domain-like	49599	21	1	0.05	PB7034																																																																																																	
Neurophysin II	49606	2	2	1.00	PB936	PA4156																																																																																																
Lipase/lipooxygenase domain (PLAT/LH2 domain)	49723	16	7	0.44	PA699	PA2779	PB3322	PA3344	PB4413	PA4414	PC30749																																																																																											
PEBP-like	49777	4	1	0.25	PC14300																																																																																																	
Galactose-binding domain-like	49785	37	12	0.32	PB637	PC1824	PB2028	PA2030	PA2564	PA3255	PA3674	PA4938	PB7208	PB7306	PB11401	PC26756																																																																																						
TNF-like	49842	35	21	0.60	PB45	PA511	PA1051	PA1052	PA1054	PA1157	PA1412	PA1435	PA6132	PB7401	PB7553	PB9221	PC10467	PC10691	PC12152	PC12561	PC13587	PB18980	PC23428	PC34391	B%ENSEMBL:ENSMUSP00000001103																																																																													
"""Spermadhesin, CUB domain"""	49854	37	19	0.51	PA1005	PA3595	PB3596	PA4207	PB5671	PA5693	PB6268	PB6857	PB7152	PB7569	PB8024	PC12522	PC12829	PC16805	PC31766	PC38939	PC39138	PC40559	B%SWISS-PROT:Q60571																																																																															
SMAD/FHA domain	49879	29	1	0.03	PA3718																																																																																																	
Concanavalin A-like lectins/glucanases	49899	64	33	0.52	PA1413	PA1414	PB1418	PA1420	PB1429	PA1436	PA1499	PB2287	PA2826	PA3254	PA3255	PA3257	PA3258	PB4012	PA4527	PA4700	PA4974	PA5105	PC5206	PC5207	PC5208	PB5887	PA6916	PB6984	PA7013	PB8026	PB8291	PA14134	PC19566	PC22932	PC40345	PC50601	B%TREMBL:O35447																																																																	
"""Copper amine oxidase, domain 3 (catalytic)"""	49998	3	2	0.67	PC16825	PC24592																																																																																																
SH3-domain	50044	145	6	0.04	PA1287	PB2202	PA7652	PC21214	PB19058	PC33240																																																																																												
Translation proteins SH3-like domain	50104	9	2	0.22	PB6564	PC70721																																																																																																
PDZ domain-like	50156	100	4	0.04	PB3338	PA7286	PA18532	PB5255																																																																																														
Ribosomal protein L14	50193	2	1	0.50	PC10071																																																																																																	
TIMP-like	50242	5	5	1.00	PB386	PA5656	PA5657	PA5658	PB7142																																																																																													
Nucleic acid-binding proteins	50249	42	4	0.10	PA6237	PB6564	PC11240	PC30004																																																																																														
Inorganic pyrophosphatase	50324	2	1	0.50	PC15412																																																																																																	
Cytokine	50353	33	12	0.36	PA2109	PA2110	PA2111	PA2113	PA2114	PA2115	PA2117	PA2118	PA2970	PA7510	PA8014	PA8973																																																																																						
Ricin B-like lectins	50370	12	5	0.42	PC87	PC91	PA2272	PB2274	PC22298																																																																																													
Actin-crosslinking proteins	50405	4	1	0.25	B%SWISS-PROT:P50405																																																																																																	
Translation proteins	50447	20	3	0.15	PB19210	PC19742	PC37358																																																																																															
EF-Tu/eEF-1alpha C-terminal domain	50465	8	1	0.13	PC19742																																																																																																	
Trypsin-like serine proteases	50494	119	98	0.82	PB359	PA500	PB535	PA616	PA1055	PA1309	PA1565	PA1847	PA1848	PA1870	PB2018	PA2022	PA2029	PA2569	PA2570	PA2571	PA2572	PA2573	PA2574	PA2575	PA2576	PB2583	PA2686	PA2687	PB2774	PB3177	PA3178	PB3180	PB3182	PA3183	PA3184	PB3185	PA3186	PB3325	PA3595	PA3629	PA3630	PA3631	PA3632	PA3633	PA3634	PA3635	PA3944	PC3946	PA4375	PA4376	PA4392	PA4522	PB4537	PB4539	PB5590	PB5591	PA5774	PB5775	PB6222	PB6748	PB6787	PB6857	PA7112	PA7286	PB7488	PB7512	PB7832	PB8448	PB8801	PB9207	PB9464	PB9612	PC10248	PC11261	PB12057	PC12202	PC13037	PC14262	PB14392	PC14568	PC15658	PB16855	PC16970	PA18532	PC20105	PC20113	PC23021	PC33580	PC33995	PC36104	PC38939	PC39138	PC40211	PC40559	PC50513	PC70420	PA7619	PC11234	PC25269	B%SWISS-PROT:Q61955	B%TREMBL:Q91X79	B%TREMBL:Q9D936
N-terminal domain of alpha and beta subunits of F1 ATP synthase	50615	3	1	0.33	PA906																																																																																																	
Acid proteases	50630	14	7	0.50	PA1563	PA1564	PA3127	PA4818	PB7814	PB8974	PC42303																																																																																											
PH domain-like	50729	237	5	0.02	PA4349	PC32586	PB365	PB5255	PC15396																																																																																													
Lipocalins	50814	42	23	0.55	PA726	PA821	PA3280	PA3281	PA3282	PA3804	PC3806	PA3807	PA3808	PC4063	PA4140	PA4141	PB4142	PA4586	PA4796	PA7046	PA7187	PC10863	PC12487	PC17743	PB18098	PC35124	PC40583																																																																											
Cyclophilin (peptidylprolyl isomerase)	50891	18	3	0.17	PB232	PA4460	PA4461																																																																																															
Mannose 6-phosphate receptor domain	50911	6	3	0.50	PC14859	PC17256	PC8683																																																																																															
Hemopexin-like domain	50923	21	16	0.76	PC2783	PA3703	PA3704	PA3705	PA3706	PA3710	PA3712	PA3714	PA3715	PA5956	PA6721	PA7779	PB8041	PB19073	PC39023	PC71095																																																																																		
Sialidases (neuraminidases)	50939	9	2	0.22	PB4816	PA3910																																																																																																
Soluble quinoprotein glucose dehydrogenase	50952	3	1	0.33	PB2690																																																																																																	
"""Galactose oxidase, central domain"""	50965	47	1	0.02	PC22220																																																																																																	
Trp-Asp repeat (WD-repeat)	50978	178	5	0.03	PA6537	PB7715	PA12771	PC12858	PC14424																																																																																													
RCC1/BLIP-II	50985	15	1	0.07	PB6579																																																																																																	
Quinoprotein alcohol dehydrogenase	50998	41	2	0.05	PC31217	PC50166																																																																																																
C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase	51004	4	1	0.25	PC23842																																																																																																	
"""alpha-Amylases, C-terminal beta-sheet domain"""	51011	4	2	0.50	PA748	PA749																																																																																																
Head domain of nucleotide exchange factor GrpE	51064	1	1	1.00	PB3767																																																																																																	
Carbonic anhydrase	51069	13	5	0.38	PA1119	PA1121	PB4697	PC13508	B%TREMBL:Q99N23																																																																																													
Bacteriochlorophyll A protein	51081	1	1	1.00	PC19738																																																																																																	
Vitelline membrane outer protein-I (VMO-I)	51092	32	20	0.63	PC9	PB1062	PA1063	PA2141	PB3419	PB4620	PA5634	PA5635	PB5972	PB5973	PA6118	PA6723	PB8513	PC17359	PC17775	PC29387	PC30996	PC39896	PC40357	PC19732																																																																														
Mannose-binding lectins	51101	3	4	1.33	PB1654	PA4983	PC70362	B%TREMBL:Q99JV1																																																																																														
"""Metalloprotease, C-terminal domain"""	51120	1	1	1.00	PC1428																																																																																																	
Single hybrid motif	51230	8	1	0.13	PB9819																																																																																																	
Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase)	51283	2	1	0.50	PC42303																																																																																																	
Hedgehog/intein (Hint) domain	51294	3	3	1.00	PB1706	PA2940	PA5111																																																																																															
LexA/Signal peptidase	51306	3	1	0.33	PB19156																																																																																																	
Inosine monophosphate dehydrogenase (IMPDH)	51412	7	1	0.14	PA2717																																																																																																	
NAD(P)-linked oxidoreductase	51430	20	1	0.05	PA3091																																																																																																	
(Trans)glycosidases	51445	29	19	0.66	PA748	PA749	PA986	PA1323	PB1324	PA1325	PA2564	PA2673	PA2674	PA2868	PB9749	PB11401	PC12916	PC14939	PC15234	PC22597	PB2848	PB2849	PA5291																																																																															
Metallo-dependent hydrolases	51556	14	1	0.07	PA2328																																																																																																	
Aldolase	51569	9	1	0.11	B%TREMBL:Q9D1L4;Q9CQ89																																																																																																	
"""Quinolinic acid phosphoribosyltransferase, C-terminal domain"""	51690	2	1	0.50	PB9209																																																																																																	
Phosphatidylinositol-specific phospholipase C (PI-PLC)	51695	14	2	0.14	PB7283	PC14770																																																																																																
NAD(P)-binding Rossmann-fold domains	51735	111	20	0.18	PC10	PB311	PA2801	PB3646	PA3785	PB4805	PB7033	PB10579	PC12801	PC17999	PC21204	PC31607	PC31664	PC40120	PC40278	PB205	PA2403	PB4597	PC9573	PC40548																																																																														
FAD/NAD(P)-binding domain	51905	40	12	0.30	PA2134	PA2350	PA4466	PB7845	PB8788	PC8835	PC9554	PC31545	PC34188	PB4597	PC11169	PC40548																																																																																						
Nucleotide-binding domain	51971	2	2	1.00	PA1635	PC11790																																																																																																
"""Transferrin receptor ectodomain, apical domain"""	52025	11	2	0.18	PC14121	PC21940																																																																																																
RNI-like	52047	146	20	0.14	PA992	PA1199	PB1316	PA1652	PA2903	PC5206	PC5207	PC5208	PB8598	PC15153	PC15175	PC17684	PC18273	PC22838	PC23332	PC23706	PC31489	PC33203	PC33407	PB7584																																																																														
L domain-like	52058	73	15	0.21	PB700	PB701	PB1782	PA2173	PB3130	PA3372	PB4073	PC5207	PB6474	PB8598	PB8634	PB17134	PB18906	PA4126	PB6461																																																																																			
Ribosomal proteins L15p and L18e	52080	4	1	0.25	B%TREMBL:Q9D5Z1;Q99JV7																																																																																																	
ClpP/crotonase	52096	8	3	0.38	PB8803	PC19154	PC40270																																																																																															
BRCT domain	52113	17	1	0.06	PC6739																																																																																																	
Flavoproteins	52218	8	1	0.13	PC18736																																																																																																	
Esterase/acetylhydrolase	52266	5	2	0.40	PB6477	PC9499																																																																																																
Ribosomal protein S2	52313	2	1	0.50	PB849																																																																																																	
Class I glutamine amidotransferase-like	52317	7	3	0.43	PA2362	PB6665	PC37143																																																																																															
"""Ferredoxin reductase-like, C-terminal NADP-linked domain"""	52343	11	2	0.18	PC13024	PC18736																																																																																																
Nucleotidylyl transferase	52374	22	1	0.05	PC12965																																																																																																	
DHS-like NAD/FAD-binding domain	52467	9	2	0.22	PC39130	PB19157																																																																																																
Glucosamine 6-phosphate deaminase/isomerase	52512	3	1	0.33	PC10																																																																																																	
Thiamin diphosphate-binding fold (THDP-binding)	52518	10	5	0.50	PA962	PA4245	PA4246	PC22744	PC39130																																																																																													
P-loop containing nucleotide triphosphate hydrolases	52540	620	34	0.05	PB522	PA906	PB2794	PB3161	PA5741	PA5742	PB6172	PC6739	PB7002	PB7081	PB7402	PB7564	PB7574	PB7905	PB8544	PC8852	PB9116	PC9230	PB11159	PB11670	PC12804	PC13000	PC14848	PC17069	PB17191	PC19417	PC19742	PC24211	PC25108	PC37358	PB8011	PB19316	PC34120	B%TREMBL:Q91Z34																																																																
Subtilisin-like	52743	7	4	0.57	PA1369	PA4210	PA4211	PA4213																																																																																														
Arginase/deacetylase	52768	10	1	0.10	PC16460																																																																																																	
(Phosphotyrosine protein) phosphatases II	52799	76	2	0.03	PB1926	PA6921																																																																																																
Rhodanese/Cell cycle control phosphatase	52821	18	2	0.11	PB4603	PC17239																																																																																																
Thioredoxin-like	52833	98	18	0.18	PA769	PA1136	PA1137	PA1709	PA1710	PA2482	PA2483	PA2484	PA2516	PA5071	PA6932	PB9146	PC11839	PC13875	PC16036	PB19280	PC32943	PB164																																																																																
Anticodon-binding domain of Class II aaRS	52954	7	1	0.14	PB12021																																																																																																	
Maf/Ham1	52972	2	1	0.50	PC10618																																																																																																	
Actin-like ATPase domain	53067	46	4	0.09	PB1064	PC18771	PA15285	B%SWISS-PROT:P13562																																																																																														
Creatinase/prolidase N-terminal domain	53092	3	1	0.33	PB3437																																																																																																	
Ribonuclease H-like	53098	32	2	0.06	PB2850	PA4861																																																																																																
Translational machinery components	53137	4	1	0.25	PB9457																																																																																																	
Zn-dependent exopeptidases	53187	34	15	0.44	PB637	PA1458	PA1460	PB7088	PB7208	PB7306	PB7374	PC8130	PC11815	PC12833	PC16972	PB19141	PC21027	PC22148	PC15296																																																																																			
"""Aminoacid dehydrogenase-like, N-terminal domain"""	53223	6	2	0.33	PA3785	PA2403																																																																																																
"""MurD-like peptide ligases, peptide-binding domain"""	53244	1	1	1.00	PA2190																																																																																																	
Phosphoglycerate mutase-like	53254	15	4	0.27	PB7338	PC13454	PC24840	PC31197																																																																																														
Integrin A (or I) domain	53300	61	24	0.39	PA1055	PA1410	PA1415	PA1431	PA1432	PB1434	PB2583	PA3051	PA3052	PA3053	PB3054	PA3599	PA3600	PA3601	PA3602	PB6141	PB8026	PC11777	PC14900	PC16221	PC22290	PC22555	PC38909	PC39976																																																																										
Glutaconate-CoA transferase subunits	53316	2	2	1.00	PB7961	PB8914																																																																																																
S-adenosyl-L-methionine-dependent methyltransferases	53335	93	8	0.09	PC114	PA1442	PB2707	PB9720	PC11088	PB11504	PC70799	PC34797																																																																																										
PLP-dependent transferases	53383	36	4	0.11	PA654	PA678	PA2444	PA3940																																																																																														
Nucleotide-diphospho-sugar transferases	53448	43	23	0.53	PC87	PC91	PA2270	PA2271	PA2272	PB2274	PA3677	PB6409	PA7350	PB7376	PC15417	PC15433	PC16345	PA17128	PC18699	PB19196	PC20922	PC22298	PC35412	PB6941	PB7384	PC19488	PC22087																																																																											
alpha/beta-Hydrolases	53474	99	46	0.46	PB88	PB172	PB251	PA484	PB1304	PB1923	PA1924	PA1950	PA2779	PA3278	PB3320	PB3322	PA3344	PB3669	PB4413	PA4414	PA4457	PA4482	PB4598	PA7082	PB7100	PC9294	PB9486	PB9522	PC10226	PB10587	PC12431	PC12932	PC13318	PC15269	PC18700	PA19052	PB19289	PC23803	PC24270	PC25393	PC25429	PC29369	PC30749	PC38445	PC50659	PA1948	PB4363	PA5629	PB8117	B%TREMBL:Q8VCU1																																																				
Ribokinase-like	53613	5	2	0.40	PC10728	PC13132																																																																																																
"""MurD-like peptide ligases, catalytic domain"""	53623	1	1	1.00	PA2190																																																																																																	
Carbamate kinase-like	53633	2	1	0.50	PC21309																																																																																																	
Alkaline phosphatase-like	53649	19	8	0.42	PA672	PA674	PA876	PB4253	PB6864	PC13047	PC14508	PC17247																																																																																										
Isocitrate & isopropylmalate dehydrogenases	53659	5	1	0.20	PB3416																																																																																																	
ALDH-like	53720	18	2	0.11	PC13448	PC19641																																																																																																
UDP-Glycosyltransferase/glycogen phosphorylase	53756	21	1	0.05	PC34116																																																																																																	
Phosphofructokinase	53784	3	1	0.33	B%TREMBL:Q91YJ8																																																																																																	
Periplasmic binding protein-like I	53822	40	5	0.13	PB5901	PB5914	PB16325	PC22632	PC30517																																																																																													
Periplasmic binding protein-like II	53850	23	3	0.13	PA3370	PB5758	PC12819																																																																																															
Lysozyme-like	53955	9	9	1.00	PA3253	PA3510	PA3512	PB9167	PC10564	PC10921	PC17495	PC70811	B%TREMBL:Q9D2D6																																																																																									
Cysteine proteinases	54001	61	23	0.38	PB718	PB733	PA1561	PA1562	PA1566	PA1567	PA1568	PA1569	PA1570	PA5731	PA6423	PB6452	PC7253	PB7255	PA7443	PB7582	PB7805	PA7971	PB7972	PB14851	PC15571	PC22013	PC24237																																																																											
His-Me finger endonucleases	54060	4	2	0.50	PA1893	PB4253																																																																																																
RNase A-like	54076	14	13	0.93	PB750	PA751	PB752	PA1806	PA1807	PA4850	PB6991	PB7038	PB7818	PC15581	PC18407	PC34602	PC40584																																																																																					
Interleukin 8-like chemokines	54117	34	31	0.91	PA2515	PA2873	PA3345	PA3685	PA5012	PA5013	PA5014	PB5015	PA5016	PA5017	PB5018	PA5019	PA5020	PA5021	PA5022	PA5023	PA5024	PA5025	PA5026	PA5027	PA5028	PA5029	PA5030	PA5031	PA5033	PA6241	PA7207	PA7239	PA7294	PA7583	PA7629																																																																			
DNA-binding domain	54171	8	1	0.13	PB19085																																																																																																	
HIT-like	54197	8	1	0.13	PC10463																																																																																																	
Ribosomal protein S5 domain 2-like	54211	23	1	0.04	B%TREMBL:Q9DC52																																																																																																	
Ubiquitin-like	54236	111	1	0.01	PC246																																																																																																	
2Fe-2S ferredoxin-like	54292	5	1	0.20	PA2092																																																																																																	
"""FAD-linked reductases, C-terminal domain"""	54373	10	4	0.40	PA1635	PA2134	PC11790	PC11169																																																																																														
Cystatin/monellin	54403	25	20	0.80	PA660	PA1399	PA1549	PA1550	PA1551	PA1552	PA3203	PB3948	PA7443	PB7773	PA7889	PC10787	PC10848	PC12730	PC14469	PB15928	PC17744	PC18256	PC18582	PB19231																																																																														
"""Copper amine oxidase, domains 1 and 2"""	54416	3	2	0.67	PC16825	PC24592																																																																																																
MHC antigen-recognition domain	54452	34	3	0.09	PA941	PB2586	PA2603																																																																																															
Ubiquitin conjugating enzyme	54495	42	2	0.05	PB8989	PC34164																																																																																																
GFP-like	54511	2	1	0.50	PA3952																																																																																																	
FKBP-like	54534	18	2	0.11	PB2145	PC35952																																																																																																
Chitinase insertion domain	54556	3	2	0.67	PA1323	PB1324																																																																																																
Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	54593	6	1	0.17	PC14473																																																																																																	
"""Quinolinic acid phosphoribosyltransferase, N-terminal domain"""	54675	1	1	1.00	PB9209																																																																																																	
Ribosomal protein L10e	54686	3	1	0.33	PB19211																																																																																																	
POZ domain	54695	125	3	0.02	PB4462	PC13021	PC22220																																																																																															
"""Elongation factor Ts (EF-Ts), dimerisation domain"""	54713	1	1	1.00	PC8384																																																																																																	
"""Ribosomal protein L7/12, C-terminal domain"""	54736	1	1	1.00	PC11189																																																																																																	
dsRNA-binding domain-like	54768	20	1	0.05	PB5583																																																																																																	
Eukaryotic type KH-domain (eKH-domain)	54791	29	1	0.03	PA668																																																																																																	
4Fe-4S ferredoxins	54862	3	1	0.33	PB4620																																																																																																	
Protease propeptides/inhibitors	54897	7	6	0.86	PA1458	PB7374	PC8130	PC12833	PC16972	PC15296																																																																																												
Nucleoside diphosphate kinases	54919	11	3	0.27	PA7080	PA7474	PA18845																																																																																															
"""RNA-binding domain, RBD"""	54928	182	4	0.02	PC209	PB931	PB7049	PC8607																																																																																														
"""Elongation factor G (EF-G), domains III and V"""	54980	4	1	0.25	PC37358																																																																																																	
"""Carboxypeptidase G2, dimerisation domain"""	55031	2	1	0.50	PC22148																																																																																																	
Hedgehog/DD-pepidase	55166	3	3	1.00	PB1706	PA2940	PA5111																																																																																															
"""Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain"""	55347	9	2	0.22	PC10	PC12801																																																																																																
Frataxin-like	55387	1	1	1.00	PA2198																																																																																																	
"""Bactericidal permeability-increasing protein, BPI"""	55394	10	8	0.80	PA3275	PA4402	PA4403	PA4567	PC8996	PC22109	PC40291	PC42176																																																																																										
SRF-like	55455	5	1	0.20	PB5360																																																																																																	
"""Metalloproteases (""""zincins""""), catalytic domain"""	55486	75	26	0.35	PA1005	PA3703	PA3704	PA3705	PA3706	PA3710	PA3712	PA3713	PA3714	PA3715	PA4541	PB5671	PA6118	PB6268	PA6721	PA6723	PA7779	PB7821	PB18937	PB19073	PC30996	PC39023	PC71095	PA3267	PC19732	PC21666																																																																								
beta-N-acetylhexosaminidase domain	55545	2	2	1.00	PA2673	PA2674																																																																																																
SH2 domain	55550	92	2	0.02	PB2202	PC12300																																																																																																
L9 N-domain-like	55658	1	1	1.00	PA4861																																																																																																	
"""Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domains 2 and 5"""	55666	1	1	1.00	B%TREMBL:Q9DC52																																																																																																	
Class II aaRS and biotin synthetases	55681	16	3	0.19	PB12021	PB12998	PC30004																																																																																															
Acyl-CoA N-acyltransferases (Nat)	55729	29	1	0.03	PC21309																																																																																																	
