Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8K440	ABC8B_MOUSE	reviewed	ATP-binding cassette sub-family A member 8-B	Abca8b Abca8 Kiaa0822	Mus musculus (Mouse)	1620
Q91V24	ABCA7_MOUSE	reviewed	ATP-binding cassette sub-family A member 7	Abca7	Mus musculus (Mouse)	2159
Q9DC29	ABCB6_MOUSE	reviewed	ATP-binding cassette sub-family B member 6, mitochondrial	Abcb6	Mus musculus (Mouse)	842
Q7TMS5	ABCG2_MOUSE	reviewed	ATP-binding cassette sub-family G member 2 (Breast cancer resistance protein 1 homolog) (CD antigen CD338)	Abcg2 Abcp Bcrp1	Mus musculus (Mouse)	657
Q8R0I0	ACE2_MOUSE	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) [Cleaved into: Processed angiotensin-converting enzyme 2]	Ace2	Mus musculus (Mouse)	805
P21836	ACES_MOUSE	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Mus musculus (Mouse)	614
P09470	ACE_MOUSE	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Ace Dcp1	Mus musculus (Mouse)	1312
Q91X60	ACHA2_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-2	Chrna2	Mus musculus (Mouse)	512
Q8R4G9	ACHA3_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-3	Chrna3	Mus musculus (Mouse)	499
O70174	ACHA4_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-4	Chrna4 Acra4	Mus musculus (Mouse)	629
Q2MKA5	ACHA5_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-5	Chrna5	Mus musculus (Mouse)	467
Q9R0W9	ACHA6_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-6	Chrna6 Nica6	Mus musculus (Mouse)	494
P49582	ACHA7_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Mus musculus (Mouse)	502
P04756	ACHA_MOUSE	reviewed	Acetylcholine receptor subunit alpha	Chrna1 Acra	Mus musculus (Mouse)	457
Q9ERK7	ACHB2_MOUSE	reviewed	Neuronal acetylcholine receptor subunit beta-2	Chrnb2	Mus musculus (Mouse)	501
Q8BMN3	ACHB3_MOUSE	reviewed	Neuronal acetylcholine receptor subunit beta-3	Chrnb3	Mus musculus (Mouse)	464
Q8R493	ACHB4_MOUSE	reviewed	Neuronal acetylcholine receptor subunit beta-4	Chrnb4 Acrb4	Mus musculus (Mouse)	495
P09690	ACHB_MOUSE	reviewed	Acetylcholine receptor subunit beta	Chrnb1 Acrb	Mus musculus (Mouse)	501
P02716	ACHD_MOUSE	reviewed	Acetylcholine receptor subunit delta	Chrnd Acrd	Mus musculus (Mouse)	520
P20782	ACHE_MOUSE	reviewed	Acetylcholine receptor subunit epsilon	Chrne Acre	Mus musculus (Mouse)	493
P04760	ACHG_MOUSE	reviewed	Acetylcholine receptor subunit gamma	Chrng Acrg	Mus musculus (Mouse)	519
O54967	ACK1_MOUSE	reviewed	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Non-receptor protein tyrosine kinase Ack) (Tyrosine kinase non-receptor protein 2)	Tnk2 Ack1	Mus musculus (Mouse)	1055
P12657	ACM1_MOUSE	reviewed	Muscarinic acetylcholine receptor M1	Chrm1 Chrm-1	Mus musculus (Mouse)	460
Q9ERZ4	ACM2_MOUSE	reviewed	Muscarinic acetylcholine receptor M2	Chrm2 Chrm-2	Mus musculus (Mouse)	466
Q9ERZ3	ACM3_MOUSE	reviewed	Muscarinic acetylcholine receptor M3 (Mm3 mAChR)	Chrm3 Chrm-3	Mus musculus (Mouse)	589
P32211	ACM4_MOUSE	reviewed	Muscarinic acetylcholine receptor M4 (Mm4 mAChR)	Chrm4 Chrm-4	Mus musculus (Mouse)	479
Q920H4	ACM5_MOUSE	reviewed	Muscarinic acetylcholine receptor M5	Chrm5	Mus musculus (Mouse)	532
Q64326	ACTHR_MOUSE	reviewed	Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R)	Mc2r Acthr	Mus musculus (Mouse)	296
Q7TPR4	ACTN1_MOUSE	reviewed	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	Actn1	Mus musculus (Mouse)	892
Q61271	ACV1B_MOUSE	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	Acvr1b Alk4	Mus musculus (Mouse)	505
Q91XE4	ACY3_MOUSE	reviewed	Aspartoacylase-2 (EC 3.5.1.-) (Acylase III) (Aminoacylase III) (Aminoacylase-3) (ACY-3) (Hepatitis C virus core-binding protein 1) (HCBP1)	Acy3 Aspa2	Mus musculus (Mouse)	318
Q9Z0F8	ADA17_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Adam17 Tace	Mus musculus (Mouse)	827
P97718	ADA1A_MOUSE	reviewed	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor)	Adra1a Adra1c	Mus musculus (Mouse)	466
P97717	ADA1B_MOUSE	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	Adra1b	Mus musculus (Mouse)	514
P97714	ADA1D_MOUSE	reviewed	Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor)	Adra1d Adra1a Gpcr8	Mus musculus (Mouse)	562
Q9R1V7	ADA23_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	Adam23 Mdc3	Mus musculus (Mouse)	829
Q01338	ADA2A_MOUSE	reviewed	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	Adra2a	Mus musculus (Mouse)	450
P30545	ADA2B_MOUSE	reviewed	Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	Adra2b	Mus musculus (Mouse)	450
Q01337	ADA2C_MOUSE	reviewed	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	Adra2c	Mus musculus (Mouse)	458
Q8R2V5	ADAP2_MOUSE	reviewed	Arf-GAP with dual PH domain-containing protein 2 (Centaurin-alpha-2) (Cnt-a2)	Adap2 Centa2	Mus musculus (Mouse)	381
P03958	ADA_MOUSE	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	Ada	Mus musculus (Mouse)	352
Q8C0T9	ADCYA_MOUSE	reviewed	Adenylate cyclase type 10 (EC 4.6.1.1) (Germ cell soluble adenylyl cyclase) (sAC) (Testicular soluble adenylyl cyclase)	Adcy10 Sac Sacy	Mus musculus (Mouse)	1614
Q9QYC0	ADDA_MOUSE	reviewed	Alpha-adducin (Erythrocyte adducin subunit alpha)	Add1	Mus musculus (Mouse)	735
Q9QYB8	ADDB_MOUSE	reviewed	Beta-adducin (Add97) (Erythrocyte adducin subunit beta)	Add2	Mus musculus (Mouse)	725
Q9QYB5	ADDG_MOUSE	reviewed	Gamma-adducin (Adducin-like protein 70)	Add3 Addl	Mus musculus (Mouse)	706
P34971	ADRB1_MOUSE	reviewed	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	Adrb1 Adrb1r	Mus musculus (Mouse)	466
P18762	ADRB2_MOUSE	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	Adrb2 Adrb2r	Mus musculus (Mouse)	418
P25962	ADRB3_MOUSE	reviewed	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	Adrb3 Adrb3r B3bar	Mus musculus (Mouse)	400
Q8C138	ADTRP_MOUSE	reviewed	Androgen-dependent TFPI-regulating protein	Adtrp	Mus musculus (Mouse)	230
Q3UGP8	AG10B_MOUSE	reviewed	Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-B) (Asparagine-linked glycosylation protein 10 homolog B)	Alg10b	Mus musculus (Mouse)	474
P35374	AGTR2_MOUSE	reviewed	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2)	Agtr2	Mus musculus (Mouse)	363
P29754	AGTRA_MOUSE	reviewed	Type-1A angiotensin II receptor (Angiotensin II type-1A receptor) (AT1A)	Agtr1a Agtr1	Mus musculus (Mouse)	359
P29755	AGTRB_MOUSE	reviewed	Type-1B angiotensin II receptor (AT3) (Angiotensin II type-1B receptor) (AT1B)	Agtr1b	Mus musculus (Mouse)	359
Q9EQX4	AIF1L_MOUSE	reviewed	Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2)	Aif1l Iba2	Mus musculus (Mouse)	150
O70200	AIF1_MOUSE	reviewed	Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1)	Aif1 Iba1	Mus musculus (Mouse)	147
A2ALI5	AJAP1_MOUSE	reviewed	Adherens junction-associated protein 1	Ajap1 Gm573	Mus musculus (Mouse)	412
Q91XC0	AJUBA_MOUSE	reviewed	LIM domain-containing protein ajuba	Ajuba Jub	Mus musculus (Mouse)	547
O55074	AKA7A_MOUSE	reviewed	A-kinase anchor protein 7 isoform alpha (AKAP-7 isoform alpha) (A-kinase anchor protein 18) (AKAP-18) (A-kinase anchor protein 9 kDa) (AKAP 9) (Protein kinase A-anchoring protein 7 isoform alpha) (PRKA7 isoform alpha)	Akap7 Akap18	Mus musculus (Mouse)	81
P31750	AKT1_MOUSE	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (AKT1 kinase) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha) (Thymoma viral proto-oncogene)	Akt1 Akt Rac	Mus musculus (Mouse)	480
Q60823	AKT2_MOUSE	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	Akt2	Mus musculus (Mouse)	481
Q64362	AKTIP_MOUSE	reviewed	AKT-interacting protein (FT1) (Fused toes protein)	Aktip Fif Ft1 Fts	Mus musculus (Mouse)	292
Q6R0H6	ALEX_MOUSE	reviewed	Protein ALEX (Alternative gene product encoded by XL-exon)	Gnas Gnas1	Mus musculus (Mouse)	725
P97793	ALK_MOUSE	reviewed	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	Alk	Mus musculus (Mouse)	1621
Q7TS75	AMER1_MOUSE	reviewed	APC membrane recruitment protein 1 (Amer1) (Protein FAM123B)	Fam123b	Mus musculus (Mouse)	1132
Q8CCJ4	AMER2_MOUSE	reviewed	APC membrane recruitment protein 2 (Amer2) (Protein FAM123A)	Fam123a	Mus musculus (Mouse)	672
Q6NS69	AMER3_MOUSE	reviewed	APC membrane recruitment protein 3 (Amer3) (Protein FAM123C)	Fam123c	Mus musculus (Mouse)	780
Q80ZD8	AMGO1_MOUSE	reviewed	Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2)	Amigo1 Ali2 Amigo Kiaa1163	Mus musculus (Mouse)	492
Q80ZD9	AMGO2_MOUSE	reviewed	Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1)	Amigo2 Ali1	Mus musculus (Mouse)	519
Q8C8R3	ANK2_MOUSE	reviewed	Ankyrin-2 (ANK-2) (Brain ankyrin)	Ank2	Mus musculus (Mouse)	3898
G5E8K5	ANK3_MOUSE	reviewed	Ankyrin-3 (ANK-3) (Ankyrin-G)	Ank3	Mus musculus (Mouse)	1961
Q6PAK3	ANM8_MOUSE	reviewed	Protein arginine N-methyltransferase 8 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 4)	Prmt8 Hrmt1l4	Mus musculus (Mouse)	394
Q8BHY3	ANO1_MOUSE	reviewed	Anoctamin-1 (Transmembrane protein 16A)	Ano1 Tmem16a	Mus musculus (Mouse)	960
Q8CFW1	ANO2_MOUSE	reviewed	Anoctamin-2 (Transmembrane protein 16B)	Ano2 Tmem16b	Mus musculus (Mouse)	1002
Q14AT5	ANO7_MOUSE	reviewed	Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G)	Ano7 Ngep Tmem16g	Mus musculus (Mouse)	859
Q8BIZ1	ANS1B_MOUSE	reviewed	Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1)	Anks1b	Mus musculus (Mouse)	1259
Q9CZ52	ANTR1_MOUSE	reviewed	Anthrax toxin receptor 1 (Tumor endothelial marker 8)	Antxr1 Atr Tem8	Mus musculus (Mouse)	562
Q99JG3	ANX13_MOUSE	reviewed	Annexin A13 (Annexin XIII) (Annexin-13)	Anxa13	Mus musculus (Mouse)	317
P10107	ANXA1_MOUSE	reviewed	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	Anxa1 Anx1 Lpc-1 Lpc1	Mus musculus (Mouse)	346
Q61548	AP180_MOUSE	reviewed	Clathrin coat assembly protein AP180 (91 kDa synaptosomal-associated protein) (Clathrin coat-associated protein AP180) (Phosphoprotein F1-20)	Snap91	Mus musculus (Mouse)	901
P17426	AP2A1_MOUSE	reviewed	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adapter-related protein complex 2 alpha-1 subunit) (Adaptor protein complex AP-2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	Ap2a1 Adtaa Clapa1	Mus musculus (Mouse)	977
P17427	AP2A2_MOUSE	reviewed	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adapter-related protein complex 2 alpha-2 subunit) (Adaptor protein complex AP-2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)	Ap2a2 Adtab	Mus musculus (Mouse)	938
Q9DBG3	AP2B1_MOUSE	reviewed	AP-2 complex subunit beta (AP105B) (Adapter-related protein complex 2 beta subunit) (Adaptor protein complex AP-2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	Ap2b1 Clapb1	Mus musculus (Mouse)	937
P84091	AP2M1_MOUSE	reviewed	AP-2 complex subunit mu (AP-2 mu chain) (Adapter-related protein complex 2 mu subunit) (Adaptor protein complex AP-2 subunit mu) (Clathrin assembly protein complex 2 medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein)	Ap2m1 Clapm1	Mus musculus (Mouse)	435
P62743	AP2S1_MOUSE	reviewed	AP-2 complex subunit sigma (Adapter-related protein complex 2 sigma subunit) (Adaptor protein complex AP-2 subunit sigma) (Clathrin assembly protein 2 small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin)	Ap2s1 Ap17 Claps2	Mus musculus (Mouse)	142
Q9QXJ1	APBB1_MOUSE	reviewed	Amyloid beta A4 precursor protein-binding family B member 1 (Protein Fe65)	Apbb1 Fe65	Mus musculus (Mouse)	710
Q9Z1K7	APC2_MOUSE	reviewed	Adenomatous polyposis coli protein 2	Apc2	Mus musculus (Mouse)	2274
Q3U128	APCD1_MOUSE	reviewed	Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein homolog)	Apcdd1 Drapc1	Mus musculus (Mouse)	514
Q61315	APC_MOUSE	reviewed	Adenomatous polyposis coli protein (Protein APC) (mAPC)	Apc	Mus musculus (Mouse)	2845
Q9WV08	APJ_MOUSE	reviewed	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (MSR)	Aplnr Agtrl1 Apj	Mus musculus (Mouse)	377
Q03157	APLP1_MOUSE	reviewed	Amyloid-like protein 1 (APLP) (APLP-1) [Cleaved into: C30]	Aplp1	Mus musculus (Mouse)	653
Q06335	APLP2_MOUSE	reviewed	Amyloid-like protein 2 (APLP-2) (CDEI box-binding protein) (CDEBP)	Aplp2	Mus musculus (Mouse)	707
Q8VBT6	APOBR_MOUSE	reviewed	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B48 receptor) (apoB-48R)	Apobr Apob48r	Mus musculus (Mouse)	942
P56402	AQP2_MOUSE	reviewed	Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct)	Aqp2	Mus musculus (Mouse)	271
Q6PGD0	ARAID_MOUSE	reviewed	All-trans retinoic acid-induced differentiation factor (Apoptosis-related protein 3) (APR-3)	Atraid Apr3	Mus musculus (Mouse)	223
Q4LDD4	ARAP1_MOUSE	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)	Arap1 Centd2 Kiaa0782	Mus musculus (Mouse)	1452
Q8R5G7	ARAP3_MOUSE	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3) (Dual specificity Rho- and Arf-GTPase-activating protein 1)	Arap3 Centd3 Drag1 Kiaa4097	Mus musculus (Mouse)	1538
Q9WV31	ARC_MOUSE	reviewed	Activity-regulated cytoskeleton-associated protein (ARC/ARG3.1) (mArc) (Activity-regulated gene 3.1 protein homolog) (Arg3.1)	Arc	Mus musculus (Mouse)	396
P62331	ARF6_MOUSE	reviewed	ADP-ribosylation factor 6	Arf6	Mus musculus (Mouse)	175
P97433	ARG28_MOUSE	reviewed	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor) (Rho-interacting protein 2)	Arhgef28 Kiaa1998 Rgnef Rhoip2 Rip2	Mus musculus (Mouse)	1693
Q66JY6	ARG39_MOUSE	reviewed	Rho guanine nucleotide exchange factor 39	Arhgef39	Mus musculus (Mouse)	344
Q9CWR0	ARHGP_MOUSE	reviewed	Rho guanine nucleotide exchange factor 25 (Guanine nucleotide exchange factor GEFT) (Rac/Cdc42/Rho exchange factor GEFT) (RhoA/Rac/Cdc42 guanine nucleotide exchange factor GEFT) (p63RhoGEF)	Arhgef25 D10Ertd610e Geft	Mus musculus (Mouse)	618
P61213	ARL4A_MOUSE	reviewed	ADP-ribosylation factor-like protein 4A	Arl4a Arl4	Mus musculus (Mouse)	200
P61208	ARL4C_MOUSE	reviewed	ADP-ribosylation factor-like protein 4C (ADP-ribosylation factor-like 7)	Arl4c Arl7	Mus musculus (Mouse)	192
Q99PE9	ARL4D_MOUSE	reviewed	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L) (ADP-ribosylation factor-like protein 5)	Arl4d Arf4l Arl5	Mus musculus (Mouse)	201
O88848	ARL6_MOUSE	reviewed	ADP-ribosylation factor-like protein 6	Arl6	Mus musculus (Mouse)	186
Q8BWG8	ARRB1_MOUSE	reviewed	Beta-arrestin-1 (Arrestin beta-1)	Arrb1	Mus musculus (Mouse)	418
Q91YI4	ARRB2_MOUSE	reviewed	Beta-arrestin-2 (Arrestin beta-2)	Arrb2	Mus musculus (Mouse)	410
Q9JHE3	ASAH2_MOUSE	reviewed	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (N-acylsphingosine amidohydrolase 2) [Cleaved into: Neutral ceramidase soluble form]	Asah2	Mus musculus (Mouse)	756
Q7SIG6	ASAP2_MOUSE	reviewed	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)	Asap2 Ddef2 Gm1523 Gm592	Mus musculus (Mouse)	958
Q6NXK8	ASIC1_MOUSE	reviewed	Acid-sensing ion channel 1 (ASIC1) (Acid-sensing ion channel) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2) (BNaC2)	Asic1 Accn2 Asic Bnac2	Mus musculus (Mouse)	526
Q925H0	ASIC2_MOUSE	reviewed	Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive brain sodium channel) (Amiloride-sensitive cation channel 1, neuronal) (Brain sodium channel 1) (BNC1) (BNaC1)	Asic2 Accn1 Bnac1	Mus musculus (Mouse)	512
Q6X1Y6	ASIC3_MOUSE	reviewed	Acid-sensing ion channel 3 (ASIC3) (Amiloride-sensitive cation channel 3) (Dorsal root ASIC) (DRASIC)	Asic3 Accn3 Drasic	Mus musculus (Mouse)	530
Q9R0Y1	ASIC5_MOUSE	reviewed	Acid-sensing ion channel 5 (ASIC5) (Amiloride-sensitive cation channel 5) (Brain-liver-intestine amiloride-sensitive Na(+) channel) (BLINaC)	Asic5 Accn5 Blinac	Mus musculus (Mouse)	495
Q6HA09	ASTL_MOUSE	reviewed	Astacin-like metalloendopeptidase (EC 3.4.-.-) (Oocyte astacin) (Ovastacin) (Sperm acrosomal SLLP1-binding protein)	Astl Sas1b	Mus musculus (Mouse)	435
O54827	AT10A_MOUSE	reviewed	Probable phospholipid-transporting ATPase VA (EC 3.6.3.1) (ATPase class V type 10A) (P-locus fat-associated ATPase)	Atp10a Atpc5 Pfatp	Mus musculus (Mouse)	1508
Q8K2X1	AT10D_MOUSE	reviewed	Probable phospholipid-transporting ATPase VD (EC 3.6.3.1) (ATPase class V type 10D)	Atp10d	Mus musculus (Mouse)	1416
