Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q60994	ADIPO_MOUSE	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)	Adipoq Acdc Acrp30 Apm1	Mus musculus (Mouse)	247
Q7TNK8	ADM2_MOUSE	reviewed	ADM2 (Intermedin) [Cleaved into: Adrenomedullin-2 (AM2) (Intermedin-long) (IMDL); Intermedin-short (IMDS)]	Adm2 Am2	Mus musculus (Mouse)	150
P97297	ADML_MOUSE	reviewed	ADM [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]	Adm	Mus musculus (Mouse)	184
Q8VDL4	ADPGK_MOUSE	reviewed	ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147)	Adpgk	Mus musculus (Mouse)	496
Q640N1	AEBP1_MOUSE	reviewed	Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein)	Aebp1 Aclp	Mus musculus (Mouse)	1128
O89020	AFAM_MOUSE	reviewed	Afamin (Alpha-albumin) (Alpha-Alb)	Afm	Mus musculus (Mouse)	608
Q7TN31	AGGF1_MOUSE	reviewed	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (mVG5Q)	Aggf1 Vg5q	Mus musculus (Mouse)	711
O88312	AGR2_MOUSE	reviewed	Anterior gradient protein 2 homolog (AG-2) (mAG-2) (Protein Gob-4) (Secreted cement gland protein XAG-2 homolog)	Agr2 Gob4	Mus musculus (Mouse)	175
Q8R3W7	AGR3_MOUSE	reviewed	Anterior gradient protein 3 homolog	Agr3	Mus musculus (Mouse)	165
P56473	AGRP_MOUSE	reviewed	Agouti-related protein	Agrp Agrt Art	Mus musculus (Mouse)	131
P31230	AIMP1_MOUSE	reviewed	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]	Aimp1 Emap2 Scye1	Mus musculus (Mouse)	310
P07724	ALBU_MOUSE	reviewed	Serum albumin	Alb Alb-1 Alb1	Mus musculus (Mouse)	608
Q9D6Z0	ALKB7_MOUSE	reviewed	Probable alpha-ketoglutarate-dependent dioxygenase ABH7 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7)	Alkbh7 Spata11	Mus musculus (Mouse)	221
P70389	ALS_MOUSE	reviewed	Insulin-like growth factor-binding protein complex acid labile subunit (ALS)	Igfals Albs Als	Mus musculus (Mouse)	603
Q07456	AMBP_MOUSE	reviewed	Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin]	Ambp Itil	Mus musculus (Mouse)	349
Q8VCT3	AMPB_MOUSE	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase) (Cytosol aminopeptidase IV)	Rnpep	Mus musculus (Mouse)	650
Q9D3J8	AMTN_MOUSE	reviewed	Amelotin	Amtn	Mus musculus (Mouse)	213
P00687	AMY1_MOUSE	reviewed	Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary and hepatic alpha-amylase)	Amy1 Amy-1-a Amy1a	Mus musculus (Mouse)	511
P00688	AMYP_MOUSE	reviewed	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Amy2 Amy2a	Mus musculus (Mouse)	508
P40753	ANFB_MOUSE	reviewed	Natriuretic peptides B (Gamma-brain natriuretic peptide) [Cleaved into: Brain natriuretic peptide (BNP)]	Nppb	Mus musculus (Mouse)	121
Q61839	ANFC_MOUSE	reviewed	C-type natriuretic peptide [Cleaved into: CNP-22; CNP-29; CNP-53]	Nppc Cnp	Mus musculus (Mouse)	126
P05125	ANF_MOUSE	reviewed	Natriuretic peptides A (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP); Auriculin-B; Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II)]	Nppa Pnd	Mus musculus (Mouse)	152
Q64438	ANG2_MOUSE	reviewed	Angiogenin-2 (Angiogenin-related protein)	Ang2 Angrp	Mus musculus (Mouse)	145
P97802	ANG3_MOUSE	reviewed	Angiogenin-3 (EC 3.1.27.-) (Angiogenin-related protein 2) (EF-5)	Ang3 Angl	Mus musculus (Mouse)	145
Q3TMQ6	ANG4_MOUSE	reviewed	Angiogenin-4 (EC 3.1.27.-)	Ang4	Mus musculus (Mouse)	144
P21570	ANGI_MOUSE	reviewed	Angiogenin (EC 3.1.27.-) (Angiogenin-1) (Ribonuclease 5) (RNase 5)	Ang Ang1 Rnase5 Rnase5a	Mus musculus (Mouse)	145
Q640P2	ANGL1_MOUSE	reviewed	Angiopoietin-related protein 1 (Angiopoietin-like protein 1)	Angptl1	Mus musculus (Mouse)	490
Q9R045	ANGL2_MOUSE	reviewed	Angiopoietin-related protein 2 (Angiopoietin-like protein 2)	Angptl2 Arp2	Mus musculus (Mouse)	493
Q9R182	ANGL3_MOUSE	reviewed	Angiopoietin-related protein 3 (Angiopoietin-like protein 3)	Angptl3	Mus musculus (Mouse)	455
Q8R0Z6	ANGL6_MOUSE	reviewed	Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor)	Angptl6 Agf	Mus musculus (Mouse)	457
Q8R1Q3	ANGL7_MOUSE	reviewed	Angiopoietin-related protein 7 (Angiopoietin-like protein 7)	Angptl7	Mus musculus (Mouse)	337
O08538	ANGP1_MOUSE	reviewed	Angiopoietin-1 (ANG-1)	Angpt1 Agpt	Mus musculus (Mouse)	498
O35608	ANGP2_MOUSE	reviewed	Angiopoietin-2 (ANG-2)	Angpt2 Agpt2	Mus musculus (Mouse)	496
Q9WVH6	ANGP4_MOUSE	reviewed	Angiopoietin-4 (ANG-4) (Angiopoietin-3) (ANG-3)	Angpt4 Agpt4 Ang3	Mus musculus (Mouse)	509
P11859	ANGT_MOUSE	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II)]	Agt Serpina8	Mus musculus (Mouse)	477
P61110	ANRE_MOUSE	reviewed	Kidney androgen-regulated protein (ARP) (KAP)	Kap	Mus musculus (Mouse)	121
P32261	ANT3_MOUSE	reviewed	Antithrombin-III (ATIII) (Serpin C1)	Serpinc1 At3	Mus musculus (Mouse)	465
O35298	AOAH_MOUSE	reviewed	Acyloxyacyl hydrolase (EC 3.1.1.77) [Cleaved into: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit]	Aoah	Mus musculus (Mouse)	574
Q00623	APOA1_MOUSE	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Truncated apolipoprotein A-I]	Apoa1	Mus musculus (Mouse)	264
P09813	APOA2_MOUSE	reviewed	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2)	Apoa2	Mus musculus (Mouse)	102
P06728	APOA4_MOUSE	reviewed	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	Apoa4	Mus musculus (Mouse)	395
Q8C7G5	APOA5_MOUSE	reviewed	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)	Apoa5 Rap3	Mus musculus (Mouse)	368
P34928	APOC1_MOUSE	reviewed	Apolipoprotein C-I (Apo-CIB) (ApoC-IB) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I (Apo-CIB') (ApoC-IB')]	Apoc1 Apoc1b	Mus musculus (Mouse)	88
Q05020	APOC2_MOUSE	reviewed	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2)	Apoc2	Mus musculus (Mouse)	97
P33622	APOC3_MOUSE	reviewed	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	Apoc3	Mus musculus (Mouse)	99
Q61268	APOC4_MOUSE	reviewed	Apolipoprotein C-IV (Apo-CIV) (ApoC-IV) (Apolipoprotein C2-linked) (ACL) (Apolipoprotein C4)	Apoc4 Acl	Mus musculus (Mouse)	124
P51910	APOD_MOUSE	reviewed	Apolipoprotein D (Apo-D) (ApoD)	Apod	Mus musculus (Mouse)	189
P08226	APOE_MOUSE	reviewed	Apolipoprotein E (Apo-E)	Apoe	Mus musculus (Mouse)	311
Q91V80	APOF_MOUSE	reviewed	Apolipoprotein F (Apo-F) (Leukemia virus-inactivating factor) (LVIF)	Apof Lvif	Mus musculus (Mouse)	315
Q01339	APOH_MOUSE	reviewed	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	Apoh B2gp1	Mus musculus (Mouse)	345
Q9Z1R3	APOM_MOUSE	reviewed	Apolipoprotein M (Apo-M) (ApoM)	Apom Ng20	Mus musculus (Mouse)	190
Q78IK4	APOOL_MOUSE	reviewed	Apolipoprotein O-like (Protein FAM121A)	Apool Fam121a	Mus musculus (Mouse)	265
Q32KI9	ARSI_MOUSE	reviewed	Arylsulfatase I (ASI) (EC 3.1.6.-)	Arsi	Mus musculus (Mouse)	573
Q8BM89	ARSJ_MOUSE	reviewed	Arylsulfatase J (ASJ) (EC 3.1.6.-)	Arsj	Mus musculus (Mouse)	598
Q9D2L1	ARSK_MOUSE	reviewed	Arylsulfatase K (ASK) (EC 3.1.6.-)	Arsk	Mus musculus (Mouse)	553
Q9Z0L2	ARTN_MOUSE	reviewed	Artemin	Artn	Mus musculus (Mouse)	224
Q03288	ASIP_MOUSE	reviewed	Agouti-signaling protein (ASP) (Agouti coat color protein) (Agouti switch protein)	Asip a	Mus musculus (Mouse)	131
P70158	ASM3A_MOUSE	reviewed	Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-)	Smpdl3a Asml3a	Mus musculus (Mouse)	445
P58242	ASM3B_MOUSE	reviewed	Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)	Smpdl3b Asml3b	Mus musculus (Mouse)	456
Q7TSK7	ATL2_MOUSE	reviewed	ADAMTS-like protein 2 (ADAMTSL-2) (TSP1-repeat-containing protein 1) (TCP-1)	Adamtsl2 Kiaa0605 Tcp1	Mus musculus (Mouse)	957
Q769J6	ATS13_MOUSE	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	Adamts13 Gm710	Mus musculus (Mouse)	1426
Q99LS0	AUGN_MOUSE	reviewed	Augurin (Esophageal cancer-related gene 4 protein homolog)	Ecrg4	Mus musculus (Mouse)	148
P01887	B2MG_MOUSE	reviewed	Beta-2-microglobulin	B2m	Mus musculus (Mouse)	119
Q04714	B2MG_MUSSP	reviewed	Beta-2-microglobulin (Fragment)	B2m	Mus spretus (Western Mediterranean mouse) (Algerian mouse)	92
P15535	B4GT1_MOUSE	reviewed	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	B4galt1 Ggtb Ggtb2	Mus musculus (Mouse)	399
P21237	BDNF_MOUSE	reviewed	Brain-derived neurotrophic factor (BDNF)	Bdnf	Mus musculus (Mouse)	249
P38649	BGAT_MOUSE	reviewed	Histo-blood group ABO system transferase (Cis-AB transferase) (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT)	Abo	Mus musculus (Mouse)	332
Q9R229	BMP10_MOUSE	reviewed	Bone morphogenetic protein 10 (BMP-10)	Bmp10	Mus musculus (Mouse)	421
Q9Z0L4	BMP15_MOUSE	reviewed	Bone morphogenetic protein 15 (BMP-15) (Growth/differentiation factor 9B) (GDF-9B)	Bmp15 Gdf9b	Mus musculus (Mouse)	392
P21274	BMP2_MOUSE	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	Bmp2 Bmp-2	Mus musculus (Mouse)	394
P97737	BMP3B_MOUSE	reviewed	Bone morphogenetic protein 3B (BMP-3B) (Growth/differentiation factor 10) (GDF-10)	Gdf10 Bmp3b	Mus musculus (Mouse)	476
Q8BHE5	BMP3_MOUSE	reviewed	Bone morphogenetic protein 3 (BMP-3)	Bmp3	Mus musculus (Mouse)	468
P49003	BMP5_MOUSE	reviewed	Bone morphogenetic protein 5 (BMP-5)	Bmp5 Bmp-5	Mus musculus (Mouse)	452
P20722	BMP6_MOUSE	reviewed	Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VGR-1)	Bmp6 Bmp-6 Vgr1	Mus musculus (Mouse)	510
P23359	BMP7_MOUSE	reviewed	Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1)	Bmp7 Bmp-7 Op1	Mus musculus (Mouse)	430
P34821	BMP8A_MOUSE	reviewed	Bone morphogenetic protein 8A (BMP-8A) (Osteogenic protein 2) (OP-2)	Bmp8a Bmp-8 Bmp8	Mus musculus (Mouse)	399
P55105	BMP8B_MOUSE	reviewed	Bone morphogenetic protein 8B (BMP-8B)	Bmp8b	Mus musculus (Mouse)	399
Q8CJ69	BMPER_MOUSE	reviewed	BMP-binding endothelial regulator protein (Bone morphogenetic protein-binding endothelial cell precursor-derived regulator) (Protein crossveinless-2) (mCV2)	Bmper Cv2	Mus musculus (Mouse)	685
Q9D8S9	BOLA1_MOUSE	reviewed	BolA-like protein 1	Bola1	Mus musculus (Mouse)	137
Q8CEI1	BOLA3_MOUSE	reviewed	BolA-like protein 3	Bola3	Mus musculus (Mouse)	110
P97361	BPIA1_MOUSE	reviewed	BPI fold-containing family A member 1 (Palate lung and nasal epithelium clone protein)	Bpifa1 Plunc	Mus musculus (Mouse)	278
P07743	BPIA2_MOUSE	reviewed	BPI fold-containing family A member 2 (Parotid secretory protein) (PSP)	Bpifa2 Psp	Mus musculus (Mouse)	235
Q9D9J8	BPIA3_MOUSE	reviewed	BPI fold-containing family A member 3 (Short palate, lung and nasal epithelium carcinoma-associated protein 3)	Bpifa3 Splunc3	Mus musculus (Mouse)	232
Q9CQX3	BPIA5_MOUSE	reviewed	BPI fold-containing family A member 5 (BPI fold-containing family A member Pluncl) (Palate lung and nasal carcinoma-like protein) (Short palate lung and nasal clone protein 5) (Tongue plunc-like protein) (TPL)	Bpifa5 Pluncl Splunc5	Mus musculus (Mouse)	270
Q61114	BPIB1_MOUSE	reviewed	BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1)	Bpifb1 Lplunc1	Mus musculus (Mouse)	474
Q8C1E1	BPIB2_MOUSE	reviewed	BPI fold-containing family B member 2 (Bactericidal/permeability-increasing protein-like 1)	Bpifb2 Bpil1	Mus musculus (Mouse)	462
Q80ZU7	BPIB3_MOUSE	reviewed	BPI fold-containing family B member 3 (Ligand-binding protein RYA3) (Long palate, lung and nasal epithelium carcinoma-associated protein 3)	Bpifb3 Lplunc3 Rya3	Mus musculus (Mouse)	473
A2BGH0	BPIB4_MOUSE	reviewed	BPI fold-containing family B member 4 (Long palate, lung and nasal epithelium carcinoma-associated protein 4)	Bpifb4 Gm1006 Lplunc4	Mus musculus (Mouse)	617
Q8BU51	BPIB6_MOUSE	reviewed	BPI fold-containing family B member 6 (Bactericidal/permeability-increasing protein-like 3)	Bpifb6 Bpil3 Gm119	Mus musculus (Mouse)	449
Q8C186	BPIFC_MOUSE	reviewed	BPI fold-containing family C protein (Bactericidal/permeability-increasing protein-like 2)	Bpifc Bpil2	Mus musculus (Mouse)	509
Q67E05	BPI_MOUSE	reviewed	Bactericidal permeability-increasing protein (BPI)	Bpi	Mus musculus (Mouse)	483
Q3UW26	BSPH1_MOUSE	reviewed	Binder of sperm protein homolog 1 (Bovine seminal plasma protein homolog 1) (Bovine seminal plasma protein-like 1)	Bsph1 Gm767	Mus musculus (Mouse)	133
Q9DB72	BTBDH_MOUSE	reviewed	BTB/POZ domain-containing protein 17 (Galectin-3-binding protein-like)	Btbd17	Mus musculus (Mouse)	478
Q05928	BTC_MOUSE	reviewed	Probetacellulin [Cleaved into: Betacellulin (BTC)]	Btc Bcn	Mus musculus (Mouse)	177
Q8CIF4	BTD_MOUSE	reviewed	Biotinidase (Biotinase) (EC 3.5.1.12)	Btd	Mus musculus (Mouse)	520
Q2VLH6	C163A_MOUSE	reviewed	Scavenger receptor cysteine-rich type 1 protein M130 (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	Cd163 M130	Mus musculus (Mouse)	1121
P98086	C1QA_MOUSE	reviewed	Complement C1q subcomponent subunit A	C1qa	Mus musculus (Mouse)	245
P14106	C1QB_MOUSE	reviewed	Complement C1q subcomponent subunit B	C1qb	Mus musculus (Mouse)	253
Q02105	C1QC_MOUSE	reviewed	Complement C1q subcomponent subunit C	C1qc C1qg	Mus musculus (Mouse)	246
Q8CFR0	C1QL2_MOUSE	reviewed	Complement C1q-like protein 2 (C1q and tumor necrosis factor-related protein 10) (C1qTNF10) (CTRP10)	C1ql2 C1qtnf10	Mus musculus (Mouse)	287
Q9ESN4	C1QL3_MOUSE	reviewed	Complement C1q-like protein 3 (Gliacolin)	C1ql3 C1ql	Mus musculus (Mouse)	255
Q4ZJM9	C1QL4_MOUSE	reviewed	Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1qTNF11)	C1ql4 C1qtnf11	Mus musculus (Mouse)	238
O88992	C1QRF_MOUSE	reviewed	C1q-related factor (Complement component 1 Q subcomponent-like 1)	C1ql1 C1qrf Crf	Mus musculus (Mouse)	258
Q9QXP7	C1QT1_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 1 (Putative secreted protein ZSIG37)	C1qtnf1 Zsig37	Mus musculus (Mouse)	281
Q9D8U4	C1QT2_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 2 (mCTRP2)	C1qtnf2 Crtp2	Mus musculus (Mouse)	294
Q9ES30	C1QT3_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)	C1qtnf3 Cors26 Ctrp3	Mus musculus (Mouse)	246
Q8R066	C1QT4_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 4	C1qtnf4	Mus musculus (Mouse)	326
Q8K479	C1QT5_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 5	C1qtnf5 Ctrp5	Mus musculus (Mouse)	243
Q6IR41	C1QT6_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 6	C1qtnf6	Mus musculus (Mouse)	264
Q8BVD7	C1QT7_MOUSE	reviewed	Complement C1q tumor necrosis factor-related protein 7	C1qtnf7 Ctrp7	Mus musculus (Mouse)	289
Q4ZJN1	C1QT9_MOUSE	reviewed	Complement C1q and tumor necrosis factor-related protein 9	C1qtnf9	Mus musculus (Mouse)	333
Q3UZ09	C1RL_MOUSE	reviewed	Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-)	C1rl C1rlp	Mus musculus (Mouse)	482
P08607	C4BPA_MOUSE	reviewed	C4b-binding protein (C4bp)	C4bpa C4bp	Mus musculus (Mouse)	469
Q8R2K8	CA054_MOUSE	reviewed	Uncharacterized protein C1orf54 homolog (Protein L259)		Mus musculus (Mouse)	148
O70354	CAH11_MOUSE	reviewed	Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)	Ca11 Car11 Carp2	Mus musculus (Mouse)	328
Q99N23	CAH15_MOUSE	reviewed	Carbonic anhydrase 15 (EC 4.2.1.1) (Carbonate dehydratase XV) (Carbonic anhydrase XV) (CA-XV)	Ca15 Car15	Mus musculus (Mouse)	324
