InterPro Description	InterPro ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																						
Domain RhoGEF	IPR000219	40	1	0.03	PB365																																																																																																						
Family SigPTase_S26A	IPR000223	2	1	0.50	PB19156																																																																																																						
Repeat Armadillo	IPR000225	32	1	0.03	PC12763																																																																																																						
Family Interleukin_7_9	IPR000226	2	2	1.00	PA2985	PA2987																																																																																																					
Family Angiotensngn	IPR000227	1	1	1.00	PA651																																																																																																						
Family Ribosomal_S12_23	IPR000230	2	1	0.50	PA6237																																																																																																						
Domain Ribosomal_S7	IPR000235	2	1	0.50	PC6784																																																																																																						
Family Aspargnase_2	IPR000246	2	1	0.50	PA642																																																																																																						
Family ARF_family	IPR000251	21	1	0.05	PB7574																																																																																																						
Domain FHA	IPR000253	16	1	0.06	PA3718																																																																																																						
Family Serum_albumin	IPR000264	8	4	0.50	PA641	PA679	PC14881	PC21352																																																																																																			
Family CuNH_oxidase	IPR000269	2	2	1.00	PC16825	PC24592																																																																																																					
Family GPCR_Rhodpsn	IPR000276	313	1	0.00	PA4126																																																																																																						
Family Cytok_receptor_2	IPR000282	11	1	0.09	PB6773																																																																																																						
Family Arg_agm_form	IPR000287	4	1	0.25	PC16460																																																																																																						
Domain VitK_dep_GLA	IPR000294	13	11	0.85	PB2018	PA2022	PA2029	PB2287	PA3681	PA4522	PA4527	PB8801	PB988	PB989	PB19348																																																																																												
Family Leuserpin2	IPR000295	1	1	1.00	PA2641																																																																																																						
Band 4.1 domain	IPR000299	41	1	0.02	PC32586																																																																																																						
Family IPPc	IPR000300	7	1	0.14	PC36731																																																																																																						
Domain P5CR	IPR000304	3	2	0.67	PB10579	PC40120																																																																																																					
Domain Znf_Bbox	IPR000315	37	2	0.05	PA5650	PA5651																																																																																																					
Domain HH_signal	IPR000320	3	3	1.00	PB1706	PA2940	PA5111																																																																																																				
Domain POU_domain	IPR000327	11	1	0.09	PA4439																																																																																																						
Family Uteroglobin	IPR000329	5	4	0.80	PB585	PA5890	PC445	PB7677																																																																																																			
Family GPCR_Mgr	IPR000337	16	1	0.06	PC30517																																																																																																						
Family DS_phosphatase	IPR000340	39	2	0.05	PB1926	PA6921																																																																																																					
Domain Regl_Gprotein	IPR000342	24	1	0.04	PA940																																																																																																						
Domain CytC_heme_bind	IPR000345	170	11	0.06	PA678	PA2092	PA3261	PB13580	PC28942	PC36408	PB164	PA2295	PA5650	PA5651	PC11513																																																																																												
Family Emp24_gp25L_p24	IPR000348	8	1	0.13	PB9318																																																																																																						
Domain Pep_rel_factor_I	IPR000352	2	1	0.50	PB10165																																																																																																						
Domain Cys_knot	IPR000359	22	20	0.91	PB1303	PA2141	PB2203	PA2905	PA3304	PB3379	PA3877	PA3891	PA3992	PB4150	PC5206	PC5207	PC5208	PA5781	PB5972	PB6167	PB6168	PB8084	PC14881	PB19258																																																																																			
Family Fumarate_lyase	IPR000362	5	1	0.20	PA1604																																																																																																						
Domain LRR_Nterm	IPR000372	47	16	0.34	PB701	PA992	PB1316	PA1652	PB1782	PA2173	PA2903	PB3130	PA3372	PC5206	PC5207	PC5208	PB6474	PB8634	PC23706	PA4126																																																																																							
Family Ser_estrs_site	IPR000379	79	41	0.52	PB88	PB172	PB251	PA484	PB1304	PB1923	PA1924	PA1950	PA2779	PA3278	PB3320	PB3322	PA3344	PB3669	PB4413	PA4414	PA4457	PA4482	PA7082	PB7100	PB9486	PB9522	PC10226	PC12431	PC12932	PC13318	PC15269	PC18700	PA19052	PC23803	PC24270	PC25393	PC25429	PC29369	PC30749	PC38445	PC50659	PA1948	PB4363	PB8117	B%TREMBL:Q8VCU1																																																														
Family TYR_phosphatase	IPR000387	74	2	0.03	PB1926	PA6921																																																																																																					
Family TPP_enzyme	IPR000399	3	1	0.33	PC39130																																																																																																						
Family Reg_chr_condens	IPR000408	26	1	0.04	PB6579																																																																																																						
Family Integrin_alpha	IPR000413	14	2	0.14	PA2466	B%ENSEMBL:ENSMUSP00000037962																																																																																																					
Domain Ets	IPR000418	23	1	0.04	PA1875																																																																																																						
Domain FA58_C	IPR000421	14	8	0.57	PB637	PC1824	PB2028	PA2030	PA3674	PA4938	PB7208	PB7306																																																																																															
Domain Sushi_SCR_CCP	IPR000436	45	24	0.53	PA643	PA823	PA956	PA1055	PB1062	PA1308	PB1501	PA1543	PA1544	PA2021	PB2583	PB2774	PA3595	PB6109	PB6788	PB6857	PB6886	PB8026	PC10354	PC11678	PC38939	PC39138	PC40559	B%TREMBL:Q61408																																																																															
Family Amylin	IPR000443	1	1	1.00	PA2851																																																																																																						
Family FAD_Gly3P_dh	IPR000447	1	1	1.00	PA2350																																																																																																						
Domain UBA_domain	IPR000449	37	1	0.03	PC8384																																																																																																						
Family Glucosamine_iso	IPR000457	3	1	0.33	PC10																																																																																																						
Family Glyco_hydro_13	IPR000461	5	2	0.40	PA748	PA749																																																																																																					
Domain G_patch	IPR000467	20	2	0.10	PB18982	PC42303																																																																																																					
Family Interferon_abd	IPR000471	10	10	1.00	PB2881	PB2882	PB2883	PB2884	PB2885	PB2886	PB2887	PB2888	PA2892	PC20058																																																																																													
Domain Activin_rec	IPR000472	12	1	0.08	PC11603																																																																																																						
Family Ribosomal_L36	IPR000473	1	1	1.00	PB19214																																																																																																						
Family Glyco_hormone	IPR000476	2	2	1.00	PA1314	PB3379																																																																																																					
Domain LRR_Cterm	IPR000483	63	13	0.21	PB1316	PA2903	PC5206	PC5207	PC5208	PC15175	PB17134	PB18906	PC23706	PC31489	PC33407	PB6461	PB7584																																																																																										
Domain Death	IPR000488	28	4	0.14	PB4130	PC14645	PC16876	PA2050																																																																																																			
Family Inhibin_betaA	IPR000491	1	1	1.00	PA2999																																																																																																						
Domain RNA_rec_mot	IPR000504	191	6	0.03	PB1426	PA4207	PC209	PB931	PB7049	PC8607																																																																																																	
Family SigPTase	IPR000508	12	3	0.25	PC14881	PB19156	PC28909																																																																																																				
Family Glyco_hydro_39	IPR000514	1	1	1.00	PA2868																																																																																																						
Family BPD_transp	IPR000515	20	2	0.10	PB4256	PB6262																																																																																																					
Domain P_trefoil	IPR000519	5	4	0.80	PA5609	PA5610	PA5608	PA70406																																																																																																			
Domain TonB_boxC	IPR000531	18	5	0.28	PA3802	PA3803	PA5026	PC16959	PC32043																																																																																																		
Family Glucagon	IPR000532	6	6	1.00	PA605	PA2318	PA2370	PA2374	PA5009	PA5944																																																																																																	
Domain Link	IPR000538	13	9	0.69	PA643	PA956	PA1502	PA1543	PA1544	PA5693	PC9444	PB14669	PC24133																																																																																														
Family Lactalbumin	IPR000545	1	1	1.00	PA3253																																																																																																						
Family Mov34	IPR000555	9	1	0.11	PC8120																																																																																																						
Family HisAc_phsphtse	IPR000560	7	2	0.29	PB7338	PC24840																																																																																																					
EGF-like domain	IPR000561	234	103	0.44	PC9	PB486	PA956	PA1005	PB1062	PA1063	PB1307	PB1441	PA1543	PA1544	PC1824	PB2018	PA2029	PA2073	PA2074	PA2075	PA2076	PA2176	PB2287	PB2690	PB2787	PA2826	PB3202	PA3254	PA3255	PA3257	PA3258	PA3259	PA3260	PA3261	PA3262	PA3263	PB3365	PB3367	PB3522	PA3595	PB3596	PA3599	PA3600	PA3601	PA3602	PA3674	PB3678	PA3952	PB4043	PB4044	PC4076	PA4375	PA4376	PA4522	PA4527	PB4816	PC5206	PC5207	PC5208	PB5332	PA5567	PA5634	PA5635	PA5636	PB5637	PB5671	PB5686	PB5887	PA6156	PA6183	PB6268	PA6282	PB6857	PA7013	PB7036	PA7112	PB7569	PB7713	PA7820	PB7832	PB8024	PB8026	PB8801	PB10636	PC11678	PC12152	PC13687	PC16239	PC17001	PB18927	PB18983	PC22290	PC22932	PC24560	PC26756	PC29123	PC30119	PC34048	PC37073	PC38939	PC39138	PC39896	PC40559	PC60037	PB2848	PB2849	B%TREMBL:O35447
Domain FN_Type_II	IPR000562	9	4	0.44	PA3710	PA3715	PA7112	PB7832																																																																																																			
Family 2Fe2S_ferredoxin	IPR000564	11	1	0.09	PA2558																																																																																																						
Family Lipocln_cytFABP	IPR000566	59	22	0.37	PA726	PA821	PA3280	PA3281	PA3282	PA3804	PC3806	PA3807	PA3808	PC4063	PA4140	PA4141	PB4142	PA4586	PA4796	PA7046	PC10863	PC12487	PC17743	PB18098	PC31489	PC40583																																																																																	
Domain Znf_CCCH	IPR000571	36	2	0.06	PC25286	PA7122																																																																																																					
Family FGGY_kin	IPR000577	7	1	0.14	PA15285																																																																																																						
Domain GATase_2	IPR000583	5	1	0.20	PA3257																																																																																																						
Domain Hemopexin	IPR000585	23	16	0.70	PC2783	PA3703	PA3704	PA3705	PA3706	PA3710	PA3712	PA3714	PA3715	PA5956	PA6721	PA7779	PB8041	PB19073	PC39023	PC71095																																																																																							
Family Ribosomal_S15	IPR000589	2	1	0.50	PA8392																																																																																																						
Domain ThiF_domain	IPR000594	9	1	0.11	PB4597																																																																																																						
Family Ribosomal_L3	IPR000597	3	1	0.33	PB19210																																																																																																						
Family Glyco_hydro_38	IPR000602	3	1	0.33	PA3587																																																																																																						
Domain UBQ_conjugat	IPR000608	39	2	0.05	PB8989	PC34164																																																																																																					
Family UPF0031	IPR000631	1	1	1.00	PC10728																																																																																																						
Domain AT_hook	IPR000637	36	2	0.06	PB637	PB5080																																																																																																					
Family Epox_hydrolase	IPR000639	2	2	1.00	PB1923	PA1924																																																																																																					
Family EFG_C	IPR000640	4	1	0.25	PC37358																																																																																																						
Family T4_deiodinase	IPR000643	2	2	1.00	PA1709	PA1710																																																																																																					
Family Natr_peptide	IPR000663	2	3	1.50	PA4007	PA4008	B%SWISS-PROT:P05125																																																																																																				
Family Peptidase_C1	IPR000668	22	19	0.86	PB733	PA1561	PA1562	PA1566	PA1567	PA1568	PA1569	PA1570	PA6423	PB6452	PC7253	PB7255	PA7443	PB7582	PB7805	PA7971	PB7972	PC15571	PC24237																																																																																				
Domain THF_Dhg_Cyh	IPR000672	2	1	0.50	PA3785																																																																																																						
Domain Znf_GATA	IPR000679	12	1	0.08	PA2295																																																																																																						
Domain GFO_IDH_MocA	IPR000683	2	1	0.50	PC12801																																																																																																						
UbiH/COQ6 monooxygenase	IPR000689	1	1	1.00	PC34188																																																																																																						
Family PRO_rich	IPR000694		1	 	B%ENSEMBL:ENSMUSP00000001103																																																																																																						
Domain Thyroglobulin_1	IPR000716	16	13	0.81	PA2904	PA2906	PA2907	PA2908	PA2909	PA2910	PA3952	PB5332	PB7962	PB7963	PB13748	PB19247	PA5629																																																																																										
Family Euk_pkinase	IPR000719	389	9	0.02	PB2202	PA4349	PA5390	PC13106	PC14645	PA17567	PA6939	PB19058	PC33240																																																																																														
Family Gag_p24	IPR000721	4	2	0.50	PB2850	PC42303																																																																																																					
Domain Flav_monooxygnse	IPR000733	3	1	0.33	PC34188																																																																																																						
Family Lipase	IPR000734	28	14	0.50	PB251	PA2779	PA3278	PB3320	PB3322	PA3344	PB4413	PA4414	PB9486	PB10587	PC18700	PC25393	PC30749	PC38445																																																																																									
WHEP-TRS domain	IPR000738	3	1	0.33	PB14851																																																																																																						
Domain GrpE	IPR000740	1	1	1.00	PB3767																																																																																																						
Domain EGF_2	IPR000742	28	15	0.54	PA956	PA1543	PA1544	PC1824	PB2018	PA2029	PA2826	PC5206	PC5207	PC5208	PA7112	PB8026	PB8801	PC11678	PC22932																																																																																								
ATP:guanido phosphotransferase	IPR000749	4	1	0.25	PA1349																																																																																																						
Family Proenkphlin_B	IPR000750	1	1	1.00	PB4256																																																																																																						
Family Clusterin	IPR000753	1	1	1.00	PA1373																																																																																																						
Domain Inositol_P	IPR000760	4	1	0.25	PB6130																																																																																																						
Domain PTN_MK	IPR000762	2	2	1.00	PA3640	PA4651																																																																																																					
Family ART_family	IPR000768	5	3	0.60	PA869	PA871	PC16383																																																																																																				
Domain Ricin_B_lectin	IPR000772	14	5	0.36	PC87	PC91	PA2272	PB2274	PC22298																																																																																																		
Domain GM_CSF	IPR000773	1	1	1.00	PA1526																																																																																																						
Interleukin-2	IPR000779	1	1	1.00	PA2972																																																																																																						
Domain BIgH3_fasciclin	IPR000782	4	2	0.50	PB5620	PB6789																																																																																																					
Domain ATPase_aC	IPR000790	1	1	1.00	PA906																																																																																																						
"H+-transporting two-sector ATPase, alpha/beta subunit, C-terminal"	IPR000793	4	1	0.25	PA906																																																																																																						
Family EF_GTPbind	IPR000795	17	2	0.12	PC19742	PC37358																																																																																																					
Family Asptransf_sub	IPR000796	2	1	0.50	PA2444																																																																																																						
Family Mrp_family	IPR000808	3	1	0.33	PC17069																																																																																																						
Domain Znf_C2H2	IPR000822	432	9	0.02	PA1308	PA2075	PA2076	PA5990	PB6077	PC8852	PC28942	PC37591	PC50467																																																																																														
Family CC_chemkine_sml	IPR000827	14	14	1.00	PA5012	PA5013	PA5014	PB5015	PA5016	PA5017	PA5022	PA5023	PA5024	PA5025	PA5026	PA5028	PA6241	PA7294																																																																																									
Family Zn_carbOpept	IPR000834	22	13	0.59	PB637	PA1458	PA1460	PB7208	PB7306	PB7374	PC8130	PC12833	PC16972	PB19141	PC21027	PC21322	PC15296																																																																																										
Family Adenylate_kin	IPR000850	6	1	0.17	PB8544																																																																																																						
Domain MyTH4	IPR000857	6	1	0.17	PC32586																																																																																																						
Domain CUB_domain	IPR000859	37	18	0.49	PA1005	PA3595	PB3596	PA4207	PB5671	PA5693	PB6268	PB6857	PB7152	PB7569	PB8024	PC12522	PC12829	PC16805	PC31766	PC38939	PC39138	PC40559																																																																																					
Family Sulfotransferase	IPR000863	20	5	0.25	PB2794	PA5741	PA5742	PB7081	PB8011																																																																																																		
Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen	IPR000866	6	2	0.33	PA769	PA6932																																																																																																					
Domain Insl_gro_fac_pr	IPR000867	16	16	1.00	PA2141	PA2904	PA2905	PA2906	PA2907	PA2908	PA2909	PA2910	PA3992	PB5972	PB5973	PB6677	PA7286	PA12751	PB15955	PA18532																																																																																							
Family Tafazzin	IPR000872	1	1	1.00	PB8743																																																																																																						
AMP-dependent synthetase and ligase	IPR000873	17	2	0.12	PC31622	PC22091																																																																																																					
Family Bombesin	IPR000874	2	2	1.00	PB9750	PC40450																																																																																																					
Family Guanylin	IPR000879	2	2	1.00	PA2558	PA2559																																																																																																					
Repeat TSP1	IPR000884	37	25	0.68	PC9	PB30	PB1062	PA1063	PA2141	PA2905	PB3419	PA3992	PB4620	PA5634	PA5635	PB5972	PB5973	PA6118	PA6723	PB8513	PC13643	PC15946	PC17359	PC17775	PC29387	PC30996	PC39896	PC40357	PC19732																																																																														
Domain Fib_collagen_C	IPR000885	10	9	0.90	PA1413	PA1414	PB1422	PA1423	PB1429	PB1430	PA1439	PA1440	PB6984																																																																																														
Domain ER_target	IPR000886	46	1	0.02	PC35952																																																																																																						
Family Glut_peroxidase	IPR000889	6	5	0.83	PA2482	PA2483	PA2484	PB9146	PC16036																																																																																																		
HMG-CoA lyase-like	IPR000891	2	1	0.50	PA2717																																																																																																						
Family Transthyretin	IPR000895	2	1	0.50	PA5801																																																																																																						
Domain SRP54	IPR000897	4	2	0.50	PA1543	PC9230																																																																																																					
Family Lipoxygenase	IPR000907	6	1	0.17	PA699																																																																																																						
Domain PI_PLC_Xdom	IPR000909	13	1	0.08	PC14770																																																																																																						
Family Sulfatase	IPR000917	9	4	0.44	PA876	PB6864	PC13047	PC17247																																																																																																			
Domain BlueCu_1	IPR000923	8	1	0.13	PB9370																																																																																																						
Family D_aa_oxidase	IPR000927	6	4	0.67	PA1635	PA2350	PC11790	PB4597																																																																																																			
Family Alpha_L_fucos	IPR000933	2	2	1.00	PB8761	PB12733																																																																																																					
Family Glyco_hydro_22Ly	IPR000974	4	4	1.00	PA3510	PA3512	PB9167	PC17495																																																																																																			
Family Interleukin_1	IPR000975	9	1	0.11	PA2970																																																																																																						
Domain SH2	IPR000980	90	2	0.02	PB2202	PC12300																																																																																																					
Family Neurhyp_horm	IPR000981	2	2	1.00	PB936	PA4156																																																																																																					
Family Peptidase_M24	IPR000994	8	1	0.13	PB3437																																																																																																						
Family Cholinesterase	IPR000997	1	1	1.00	PA484																																																																																																						
Domain MAM_domain	IPR000998	12	3	0.25	PB486	PB7036	PC12786																																																																																																				
Family Glyco_hydro_10	IPR001000	3	1	0.33	PB5590																																																																																																						
Domain Myb_DNA_binding	IPR001005	58	4	0.07	PB1501	PA3713	PB7028	PB18906																																																																																																			
Family ProcolLys_dioxy	IPR001006	3	3	1.00	PB4396	PB6359	PB6360																																																																																																				
Domain VWF_C	IPR001007	44	20	0.45	PA1330	PB1422	PA1423	PB1430	PA1439	PA2141	PA2905	PA3992	PB4150	PA5634	PA5635	PB5972	PB5973	PA7013	PB10636	PC14881	PB19012	PC29123	PC29181	PC35394																																																																																			
Family Dehydrogenase_E1	IPR001017	3	3	1.00	PA962	PA4245	PA4246																																																																																																				
Family Hsp70	IPR001023	11	2	0.18	PB1064	PC18771																																																																																																					
Domain Lipoxygenase_LH2	IPR001024	15	6	0.40	PA699	PA2779	PB3322	PA3344	PB4413	PA4414																																																																																																	
Family Gprt_PlipaseD	IPR001028	1	1	1.00	PA2466																																																																																																						
Domain MHC_I	IPR001039	20	3	0.15	PA941	PB2586	PA2603																																																																																																				
Family Ferredoxin	IPR001041	5	1	0.20	PA2092																																																																																																						
Family Adrenodoxin	IPR001055	1	1	1.00	PA2092																																																																																																						
Domain Crystallin	IPR001064	63	5	0.08	PA1564	PA2029	PA2114	PA6183	PC12431																																																																																																		
Domain C1q	IPR001073	22	19	0.86	PB45	PA511	PA1051	PA1052	PA1054	PA1157	PA1412	PA1435	PA6132	PB7401	PB7553	PC10467	PC10691	PC12152	PC12561	PC13587	PB18980	PC23428	B%ENSEMBL:ENSMUSP00000001103																																																																																				
Family Lipase_GDSL	IPR001087	5	2	0.40	PB6477	PC9499																																																																																																					
Family CXC_chmkine_smll	IPR001089	9	7	0.78	PA2515	PA2873	PA3685	PA5029	PA5030	PA5031	PA7207																																																																																																
Domain Ephrin_receptor	IPR001090	11	1	0.09	PC26756																																																																																																						
Domain HLH_basic	IPR001092	130	2	0.02	PC16221	PB3668																																																																																																					
Domain Flavdoxin_like	IPR001094	6	1	0.17	PC18736																																																																																																						
Family Legumain	IPR001096	2	1	0.50	PB4534																																																																																																						
Domain Maternal_tudor	IPR001097	6	2	0.33	PA668	PA17567																																																																																																					
Repeat Plectin_repeat	IPR001101	5	1	0.20	PB60281																																																																																																						
Family GlutransfG	IPR001102	8	1	0.13	PB14851																																																																																																						
Family Band_7	IPR001107	10	5	0.50	PB4290	PB8548	PC9887	PC22744	PC60077																																																																																																		
Family TGFb_N	IPR001111	18	18	1.00	PA1006	PB1008	PA1009	PA1010	PA1011	PA1012	PA1013	PA1014	PA1015	PA1809	PA2342	PA2343	PA2344	PA2999	PA5615	PA5618	PA5619	PC23093																																																																																					
"Multicopper oxidase, type 1"	IPR001117	12	5	0.42	PA1457	PB2028	PA2030	PA3051	PA3053																																																																																																		
Family LBP_BPI_CETP	IPR001124	5	4	0.80	PA3275	PA4402	PC22109	PC42176																																																																																																			
Family Cytochrome_P450	IPR001128	59	30	0.51	PA1585	PA1587	PB1590	PA1593	PA1594	PA1596	PA1598	PA1600	PA1601	PA1602	PA1604	PA1605	PA1608	PA1609	PB1610	PA1614	PA1615	PA1617	PA1621	PB1622	PA1625	PA4628	PC10354	PB11468	PB13081	PC31568	PC31681	PC40206	PC40249	PA1592																																																																									
Domain Netrin_C	IPR001134	11	11	1.00	PA2639	PB4043	PB4044	PA4207	PB5037	PB5078	PA5079	PB5080	PB7142	PB7713	PC16805																																																																																												
Family Glyco_hydro_30	IPR001139	1	1	1.00	PA2296																																																																																																						
Family Euk_COanhd	IPR001148	13	5	0.38	PA1119	PA1121	PB4697	PC13508	B%TREMBL:Q99N23																																																																																																		
Family Transferrin	IPR001156	4	3	0.75	PA3370	PB5758	PC12819																																																																																																				
Domain DIX	IPR001158	5	1	0.20	PA940																																																																																																						
Domain DS_RBD	IPR001159	16	1	0.06	PB5583																																																																																																						
Family Integrin_beta_C	IPR001169	15	1	0.07	PC30119																																																																																																						
Family Glycos_transf_2	IPR001173	15	9	0.60	PC87	PC91	PA2270	PA2271	PA2272	PB2274	PC22298	PC35412	PC19488																																																																																														
Family FKBP_PPIase	IPR001179	20	2	0.10	PB2145	PC35952																																																																																																					
Interleukin-7	IPR001181	1	1	1.00	PA2985																																																																																																						
Family Srcr_receptor	IPR001190	22	8	0.36	PB810	PA1309	PA3342	PB4462	PB9370	PC12522	PB18934	PC35048																																																																																															
Family PI_PLC	IPR001192	10	1	0.10	PC14770																																																																																																						
Domain DENN	IPR001194	9	1	0.11	PB9386																																																																																																						
Domain Cyt_B5	IPR001199	12	1	0.08	PB8225																																																																																																						
Domain WW_Rsp5_WWP	IPR001202	39	2	0.05	PB8974	PB11468																																																																																																					
Family Ribosomal_S14	IPR001209	4	1	0.25	PB8019																																																																																																						
Family PhospholipaseA2	IPR001211	20	14	0.70	PA2514	PA3260	PA4364	PA4366	PA4367	PB4368	PA4370	PB5973	PC6397	PB6462	PB6463	PB8339	PC23808	PA4064																																																																																									
Domain Somatomedin_B	IPR001212	8	4	0.50	PB4253	PA5956	PB6452	PB8041																																																																																																			
Domain SET	IPR001214	23	1	0.04	PB19085																																																																																																						
Family Glyco_hydro_18	IPR001223	6	5	0.83	PA1323	PB1324	PA1325	PC12916	PC14939																																																																																																		
Family Flavodoxin	IPR001226	6	1	0.17	PC18736																																																																																																						
Domain Jacalin_lectin	IPR001229	1	1	1.00	PA4983																																																																																																						
